short_code,Colorfulness_Picture,Saturation_Picture,Contrast_Picture,Clarity_Picture,Brightness_Picture,Warm Hue_Picture,ROT_Picture,Diagonal_dominance_Picture,Physical_ver_Picture,Physical_Hor_Picture,Color_balance_vertical_Picture,Color_balance_horizontal_Picture,Texture_difference_Picture,Size_difference_Picture,Color_difference_Picture,Depth of field_hue_Picture,Depth of field_saturation_Picture,Depth of field_value_Picture
94.0,23.0,19.66,60.92,1.0,224.27,0.26,156.348968656656,4.949747468305832,73.0,66.0,97.13,24.6,0.25430994885334157,0.18372427983539094,213.3816247444647,0.6381944444444433,1.0459016393442626,6.108641975308669
95.0,11.0,12.18,32.81,1.0,235.03,0.03,216.54098919142305,8.485281374238571,21.0,33.0,40.72,21.52,0.21199443655756178,0.11950960219478737,115.26609077761586,0.025860292602514063,0.42798353909464926,0.3019057171514522
96.0,10.0,7.58,23.99,1.0,230.73,0.03,186.01075237738274,28.2842712474619,30.0,70.0,26.41,17.77,0.1829623662157644,0.13806241426611798,68.69973454358905,0.7991071428571395,0.12199845081332299,0.351851851851848
102.0,4.0,8.92,83.73,1.0,200.09,0.59,149.13156011462567,7.071067811865475,39.5,49.5,145.94,110.73,0.09281317054599086,0.4706320987654321,150.96540946923975,2.8418688230008984,0.9774081429990071,5.00757575757566
103.0,9.0,21.13,55.92,1.0,127.56,0.02,72.71863585079137,70.71067811865474,242.0,142.0,132.98,84.22,0.12094271266379032,0.3960150891632373,53.90705884173607,0.8261068005476955,0.36193619361936247,0.03286384976525733
104.0,5.0,9.64,80.13,1.0,212.34,0.77,135.16245369513268,26.870057685088803,42.0,4.0,147.13,97.76,0.15609030935473178,0.3203591836734694,228.65184624559305,0.5931582162492366,0.9581859787809442,0.16717885679164102
105.0,13.0,47.53,105.61,1.0,134.7,0.42,56.9492951863517,21.920310216782973,64.0,95.0,246.09,50.0,0.10462109358899957,0.582334693877551,208.37016138074353,0.0016090866067202006,0.7499627255106607,0.2534129692832763
106.0,10.0,36.79,94.18,1.0,127.29,0.33,40.222989556830406,23.334523779156065,110.0,77.0,138.84,41.65,0.050848193987524284,0.6729795918367347,13.227552826914907,2.428033866415804,0.09027938120526433,0.5683856502242152
107.0,7.0,26.44,101.5,1.0,152.5,0.52,85.09145406887552,0.7071067811865475,57.0,56.0,163.71,32.84,0.11796129865003974,0.5110204081632653,210.2244004955167,1.3257229832572293,1.9158215010141983,0.16659510519536214
108.0,7.0,22.91,98.77,1.0,159.29,0.55,39.07969066180311,23.334523779156065,111.0,78.0,251.98,48.89,0.12271192825331582,0.40437551020408163,97.57168799647631,0.06791450613380551,0.25398406374502,0.7280163599181952
109.0,8.0,24.04,99.39,1.0,154.91,0.51,17.820088539498208,14.14213562373095,119.0,99.0,257.86,38.1,0.09686202921198458,0.36198367346938776,91.6324411723522,0.12715280322462427,0.3850703650826024,0.568920433320882
110.0,6.0,23.65,104.1,1.0,179.96,0.64,71.56970184527962,24.041630560342615,86.0,52.0,251.24,59.14,0.10656570889631903,0.21827755102040816,83.12922511110992,0.33988673139158576,0.2149122807017551,0.04397394136807804
111.0,35.0,60.85,51.35,1.0,94.64,0.62,184.09236811991963,171.11984104714452,11.0,253.0,106.26,98.58,0.15282027831419936,0.44372085048010973,95.15113389362459,2.0645067557750982,0.21657428687305674,0.24363425925926135
112.0,32.0,26.97,45.39,1.0,224.37,0.97,190.4337155022713,9.192388155425117,39.0,52.0,61.82,54.19,0.11760660966623777,0.2723079561042524,55.958098298982755,0.018444444444444468,0.009893992932861886,0.3870967741936351
113.0,23.0,40.72,54.08,1.0,80.39,0.75,139.70007555871655,46.37231319839634,119.5,54.0,93.9,67.03,0.141185366278111,0.21987997256515776,88.47114060604574,7.660792951541854,0.03520261972984059,1.632075471698161
114.0,34.0,49.97,55.9,1.0,115.35,0.69,120.10828447696687,25.45584412271571,79.0,115.0,106.9,113.15,0.06225843369348748,0.4093655692729767,58.67376582938681,6.266666666666611,1.1058931860036807,0.9122807017542602
115.0,33.0,19.54,62.0,1.0,216.36,0.72,185.34832073693033,86.26702730475878,125.0,3.0,115.36,67.98,0.12218956169573453,0.2125,152.53555395028027,0.044147187728268845,0.7042777433353996,0.2891061452513959
116.0,4.0,9.7,62.2,1.0,222.31,0.61,193.03885619221847,36.76955262170048,20.0,72.0,111.54,22.15,0.12534621987259975,0.17291838134430726,192.41334904344293,1.309146135673304,0.27990135635018476,12.000000000001442
117.0,58.0,60.9,90.35,1.0,173.9,0.47,184.19554826325202,11.31370849898476,42.0,58.0,146.45,26.72,0.107582189268469,0.22512345679012347,176.762661584942,1.1728946655835362,4.763888888888881,0.21538461538461356
118.0,11.0,27.28,40.07,1.0,84.07,0.54,178.4800019921311,85.86810375424163,8.5,130.0,94.4,32.4,0.07200380253201386,0.3919238683127572,51.36958785263291,0.5957939761183392,0.27914798206277974,1.419753086419878
119.0,10.0,32.32,35.77,1.0,76.63,0.62,138.2316895650198,91.92388155425117,172.0,42.0,56.57,73.01,0.07892680973032545,0.27786351165980794,37.037870270252846,0.7360416559261741,2.0084745762711917,0.21931589537223525
120.0,13.0,35.39,35.86,1.0,96.78,0.8,122.20065466273084,17.677669529663685,107.0,82.0,59.28,35.34,0.12201199324489231,0.40996913580246913,39.5166575844588,1.1549829480863967,2.28117359413203,0.20179372197310005
121.0,13.0,2.68,30.87,1.0,245.34,0.93,122.62363375612205,43.1335136523794,66.0,5.0,30.04,15.39,0.14012392211141134,0.24168163265306122,40.448387037000856,0.15807250619229907,0.15957446808510864,0.17286914765906553
122.0,26.0,13.2,50.41,1.0,226.51,0.56,84.55110223343566,83.4386001800126,166.0,48.0,75.09,28.86,0.14632875903472264,0.3155428571428571,60.48604330024912,0.2655220115550492,0.3232998885172817,0.44090909090908975
123.0,13.0,3.36,33.48,1.0,243.85,0.87,98.56413591610739,2.8284271247461903,49.0,45.0,33.76,25.44,0.1340676452123925,0.2622775510204082,39.45199753867637,1.101449275362319,0.24744773942634932,0.18504314477468792
124.0,11.0,2.53,29.18,1.0,245.45,0.83,130.66709183604297,9.19238815542512,31.0,18.0,33.0,12.54,0.15183839822563455,0.2376408163265306,47.84087962273895,0.8827697914557606,1.3333333333333341,0.11453744493391915
125.0,12.0,6.17,74.86,1.0,215.78,0.82,136.13922612123554,20.506096654409877,36.0,7.0,117.88,80.56,0.11514045720634504,0.3948734693877551,157.25257236688904,0.03210857332009255,0.15745517071972495,0.513679245283018
126.0,26.0,72.28,56.35,1.0,107.59,0.75,68.60029154456998,67.93558642154363,260.0,121.0,125.23,97.37,0.08282589557046406,0.4993909465020576,36.94243028049353,3.4165797705943706,0.011373578302711651,0.49190938511325977
127.0,28.0,70.56,46.01,1.0,88.16,0.88,94.49338601193207,92.45486703805486,298.0,120.0,93.72,70.43,0.10315962597881395,0.21851028806584363,22.07653663318474,0.4581818181818179,0.466583644665837,3.2539682539680883
128.0,26.0,79.34,51.06,1.0,77.02,0.78,141.16696182574415,64.87090675452019,167.5,51.0,119.62,78.34,0.14366468066093008,0.28574568633915814,24.90816008691626,0.47383803148863957,0.48060819744380756,0.19340974212034476
129.0,26.0,21.69,79.22,1.0,207.85,0.75,166.83225107874077,14.849242404917497,73.0,52.0,163.91,61.09,0.1788277843594746,0.38040123456790126,192.68083850705702,0.213853904282116,0.3776690391459072,0.4103260869565294
130.0,27.0,42.0,67.21,1.0,120.23,0.51,208.290662296705,40.305086527633215,7.0,64.0,163.43,105.4,0.10236606128584695,0.2872427983539095,57.47311354462612,1.5030110935023802,0.09212771143066034,0.7005545286506544
131.0,83.0,113.78,47.21,1.0,93.09,0.6,97.86214794290998,54.44722215136415,161.0,84.0,101.08,100.23,0.03207004564068083,0.48532921810699586,24.434383351578884,0.1390223226900252,0.11276148038123578,0.22828195731838757
132.0,60.0,102.26,48.36,1.0,108.85,0.69,61.61168720299745,52.32590180780451,194.0,120.0,102.67,102.17,0.0843554540357909,0.45382373113854596,44.48509732896136,0.39640300972655557,6.408536585365914,0.2552286423254159
133.0,82.0,117.6,55.97,1.0,117.23,0.89,51.0,36.062445840513924,180.0,129.0,134.62,106.74,0.025500215475257215,0.7738203017832648,93.17868432119005,0.25495049504950484,1.1381418092909708,0.5371525808281347
134.0,5.0,23.69,54.22,1.0,78.35,0.36,106.58538569824873,30.686298755218594,78.0,76.0,120.76,99.43,0.06157780134473691,0.45529361598440543,18.047633641572865,0.14303285890001752,0.1343236409608091,6.722222222222304
136.0,39.0,69.66,58.13,1.0,93.96,0.56,39.0,14.849242404917497,144.0,165.0,131.95,131.55,0.10860067256785147,0.42577846364883404,52.00350282894856,0.03473375047886623,0.10710259301014637,1.169312169312164
137.0,37.0,78.86,54.21,1.0,87.18,0.54,46.51881339845203,15.556349186104043,160.0,138.0,139.51,76.08,0.11666219401897085,0.3049485596707819,61.11310230612765,0.7300143811860248,0.10376213592232998,0.005412719891746083
138.0,26.0,43.98,62.61,1.0,121.41,0.4,61.39218191268331,33.23401871576773,167.0,120.0,124.16,122.51,0.08517747195749853,0.5536282578875171,58.11556454846286,0.43444818943911495,4.479166666666671,0.6079812206572869
139.0,24.0,56.07,66.91,1.0,88.54,0.64,57.41176805421612,11.799873314025998,111.0,128.0,144.24,113.28,0.11940616397224428,0.6984674329501915,55.134060753392916,0.436904308044225,0.13779447603574346,0.040602312449583886
140.0,21.0,73.24,43.08,1.0,102.89,0.95,101.35800138343515,42.14801385358666,144.5,85.0,80.48,62.1,0.06969042028257609,0.3507167352537723,26.527946986367095,0.7210494571773233,1.0924479166666463,0.6782273603082908
142.0,54.0,66.91,88.16,1.0,167.72,0.49,178.21896644296868,22.62741699796952,39.0,71.0,151.77,61.12,0.08856433082558984,0.5326097393689986,26.59830914806925,0.22064372918978906,1.0133928571428605,0.15950920245399663
143.0,36.0,70.61,62.65,1.0,103.28,0.47,106.96261028976434,6.363961030678928,100.0,109.0,134.52,121.47,0.03642502341775283,0.6637722908093279,19.570697347012207,0.04246266064605761,0.19106796116504804,0.14240506329113947
144.0,22.0,37.26,69.94,1.0,130.99,0.27,112.0446339634344,8.48528137423857,107.0,95.0,153.68,137.18,0.04286136593088169,0.7446913580246913,35.05614965537786,0.01184856058502259,0.24221280837278844,0.3061840120663649
148.0,50.0,68.05,61.0,1.0,185.83,0.92,46.0,32.526911934581186,134.0,180.0,141.55,125.69,0.03193384957215689,0.22267489711934157,7.919759956576426,0.13542316195227028,0.37119256582343807,0.4795127353266879
149.0,22.0,65.1,36.11,1.0,53.0,0.25,57.3149195236284,44.54772721475249,186.0,123.0,70.48,59.88,0.11932954967228002,0.45044581618655694,64.76333926798291,0.24510140941904437,0.3714285714285676,0.388379204892961
152.0,30.0,67.68,59.53,1.0,98.45,0.73,100.96093854115617,27.352137773685257,125.5,91.0,137.44,89.58,0.11261323172054244,0.26439814814814816,17.644050330046134,0.7035445757250266,4.2756410256411135,11.512195121950832
